timestamp,seed,filter_n_atoms,input_scale_factor,diffusion_loss_type,diffusion_noise_schedule,val_l2,test_l2,atm_stable,mol_stable
2025-11-10T16:53:06,42,9,0.1,l2_norm_by_num_atoms,polynomial_2,0.629,0.641,31.667,0.0
2025-11-10T17:00:01,42,9,0.2,l2_norm_by_num_atoms,polynomial_2,0.788,0.815,40.667,0.0
2025-11-10T17:06:55,42,9,0.4,l2_norm_by_num_atoms,polynomial_2,1.0,1.005,53.889,0.0
2025-11-10T17:13:44,42,9,0.6,l2_norm_by_num_atoms,polynomial_2,1.216,1.11,58.889,2.0
2025-11-10T17:20:38,42,9,0.8,l2_norm_by_num_atoms,polynomial_2,1.264,1.159,60.0,0.0
2025-11-10T17:27:32,42,9,1.0,l2_norm_by_num_atoms,polynomial_2,1.311,1.175,71.0,12.0
2025-11-10T17:34:16,42,9,1.2,l2_norm_by_num_atoms,polynomial_2,1.346,1.192,71.444,11.0
2025-11-10T17:41:00,42,9,1.4,l2_norm_by_num_atoms,polynomial_2,1.378,1.197,69.667,9.0
2025-11-10T17:47:45,42,9,1.6,l2_norm_by_num_atoms,polynomial_2,1.406,1.214,69.556,7.0
2025-11-10T17:54:39,42,9,1.8,l2_norm_by_num_atoms,polynomial_2,1.411,1.222,70.667,10.0
2025-11-10T18:01:24,42,9,2.0,l2_norm_by_num_atoms,polynomial_2,1.371,1.178,73.333,13.0
2025-11-10T18:08:15,42,9,3.0,l2_norm_by_num_atoms,polynomial_2,1.277,1.125,76.111,8.0
2025-11-10T18:15:08,42,9,4.0,l2_norm_by_num_atoms,polynomial_2,1.166,1.094,84.667,33.0
2025-11-10T18:22:08,42,9,5.0,l2_norm_by_num_atoms,polynomial_2,1.157,1.113,79.0,18.0
2025-11-10T18:29:11,42,9,6.0,l2_norm_by_num_atoms,polynomial_2,1.147,1.161,82.889,17.0
2025-11-10T18:36:03,42,9,7.0,l2_norm_by_num_atoms,polynomial_2,1.108,1.099,82.111,24.0
2025-11-10T18:42:58,42,9,8.0,l2_norm_by_num_atoms,polynomial_2,1.103,1.158,80.889,25.0
2025-11-10T18:49:56,42,9,9.0,l2_norm_by_num_atoms,polynomial_2,1.17,1.188,81.0,16.0
2025-11-10T18:56:55,42,9,10.0,l2_norm_by_num_atoms,polynomial_2,1.179,1.227,81.889,18.0
2025-11-10T19:04:45,42,12,0.1,l2_norm_by_num_atoms,polynomial_2,0.698,0.651,34.583,0.0
2025-11-10T19:12:30,42,12,0.2,l2_norm_by_num_atoms,polynomial_2,0.885,0.869,44.25,0.0
